0m 5s  30,882
0m 5s  40,882
0m 5s  50,883
0m 5s  60,883
0m 5s  70,884
0m 5s  80,885
0m 5s  90,884
0m 5s 100,885
0m 5s 110,886
0m 5s 120,885
0m 5s 130,885
0m 5s 140,884
0m 5s 150,881
0m 5s 160,881
0m 5s 170,883
0m 5s 180,883
0m 5s 190,885
0m 5s 200,885
0m 5s 210,881
0m 5s 220,879
0m 5s 230,879
0m 5s 240,880
0m 5s 250,882
0m 5s 260,884
0m 5s 270,885
0m 5s 280,885
0m 5s 290,883
0m 5s 300,883
0m 5s 310,883
0m 5s 320,881
0m 5s 330,880
0m 5s 340,881
0m 5s 350,881
0m 5s 360,880
0m 5s 370,882
0m 5s 380,884
0m 5s 390,884
0m 5s 400,883
0m 5s 410,882
0m 5s 420,880
0m 5s 430,879
0m 5s 440,878
0m 5s 450,879
0m 5s 460,880
0m 5s 470,882
0m 5s 480,883
0m 5s 490,883
0m 5s 500,882
0m 5s 510,881
0m 5s 520,881
0m 5s 530,881
0m 5s 540,880
0m 5s 550,879
0m 5s 560,880
0m 5s 570,880
0m 5s 580,880
0m 5s 590,882
0m 5s 600,884
0m 5s 610,884
0m 5s 620,882
0m 5s 630,881
0m 5s 640,881
0m 5s 650,881
0m 5s 660,882
0m 5s 670,885
0m 5s 680,888
0m 5s 690,888
0m 5s 700,887
0m 5s 710,886
0m 5s 720,885
0m 5s 730,885
0m 5s 740,883
0m 5s 750,883
0m 5s 760,885
0m 5s 770,886
0m 5s 780,885
0m 5s 790,885
0m 5s 800,885
0m 5s 810,883
0m 5s 820,881
0m 5s 830,881
0m 5s 840,879
0m 5s 850,878
0m 5s 860,878
0m 5s 870,878
0m 5s 880,877
0m 5s 890,878
0m 5s 900,880
0m 5s 910,881
0m 5s 920,881
0m 5s 930,883
0m 5s 940,883
0m 5s 950,882
0m 5s 960,882
0m 5s 970,883
0m 5s 980,884
0m 5s 990,885
0m 6s   0,885
0m 6s  10,883
0m 6s  20,881
0m 6s  30,881
0m 6s  40,880
